25,2,7,"Worn Shortsword",1,21,-1,2,1,0,0,0
35,2,10,"Bent Staff",1,17,-1,2,1,0,0,0
36,2,4,"Worn Mace",1,21,-1,2,1,0,0,0
37,2,0,"Worn Axe",1,21,-1,2,1,0,0,0
38,4,0,"Recruit's Shirt",1,4,-1,1,0,0,0,0
39,4,1,"Recruit's Pants",0,7,-1,1,1,0,0,0
40,4,0,"Recruit's Boots",1,8,-1,1,0,0,0,0
43,4,0,"Squire's Boots",1,8,-1,1,0,0,0,0
44,4,1,"Squire's Pants",0,7,-1,1,1,0,0,0
45,4,0,"Squire's Shirt",1,4,-1,1,0,0,0,0
47,4,0,"Footpad's Shoes",1,8,-1,1,0,0,0,0
48,4,1,"Footpad's Pants",0,7,-1,1,1,0,0,0
49,4,0,"Footpad's Shirt",1,4,-1,1,0,0,0,0
51,4,0,"Neophyte's Boots",1,8,-1,1,0,0,0,0
52,4,1,"Neophyte's Pants",0,7,-1,1,1,0,0,0
53,4,0,"Neophyte's Shirt",1,4,-1,1,0,0,0,0
55,4,0,"Apprentice's Boots",1,8,-1,1,0,0,0,0
56,4,1,"Apprentice's Robe",0,20,-1,1,1,0,0,0
57,4,1,"Acolyte's Robe",0,20,-1,1,1,0,0,0
59,4,0,"Acolyte's Shoes",1,8,-1,1,0,0,0,0
60,4,2,"Layered Tunic",1,5,-1,5,0,0,0,0
61,4,2,"Dwarven Leather Pants",1,7,-1,5,0,0,0,0
79,4,1,"Dwarven Cloth Britches",1,7,-1,5,0,0,0,0
80,4,1,"Soft Fur-lined Shoes",1,8,-1,5,0,0,0,0
85,4,2,"Dirty Leather Vest",1,5,-1,5,1,0,0,0
117,0,0,"Tough Jerky",1,0,-1,5,1,0,0,0
118,0,3,"Minor Healing Potion",1,0,-1,5,1,0,0,0
120,4,1,"Thug Pants",0,7,-1,1,1,0,0,0
121,4,0,"Thug Boots",1,8,-1,1,0,0,0,0
127,4,0,"Trapper's Shirt",1,4,-1,1,0,0,0,0
128,4,1,"Deprecated Tauren Trapper's Pants",0,7,2047,1,1,0,0,0
129,4,0,"Rugged Trapper's Boots",1,8,-1,1,0,0,0,0
139,4,1,"Brawler's Pants",0,7,-1,1,1,0,0,0
140,4,0,"Brawler's Boots",1,8,-1,1,0,0,0,0
147,4,1,"Rugged Trapper's Pants",0,7,-1,1,1,0,0,0
148,4,0,"Rugged Trapper's Shirt",1,4,-1,1,0,0,0,0
153,4,2,"Primitive Kilt",0,7,-1,1,1,0,0,0
154,4,0,"Primitive Mantle",1,4,-1,1,0,0,0,0
159,0,0,"Refreshing Spring Water",1,0,-1,5,1,0,0,0
