--

25, 21, 2, 2, 7, 1
35, 17, 2, 2, 10, 1
36, 21, 2, 2, 4, 1
37, 21, 2, 2, 0, 1
38, 4, 4, 1, 0, 0
39, 7, 4, 1, 1, 1
40, 8, 4, 1, 0, 0
43, 8, 4, 1, 0, 0
44, 7, 4, 1, 1, 1
45, 4, 4, 1, 0, 0
47, 8, 4, 1, 0, 0
48, 7, 4, 1, 1, 1
49, 4, 4, 1, 0, 0
51, 8, 4, 1, 0, 0
52, 7, 4, 1, 1, 1
53, 4, 4, 1, 0, 0
55, 8, 4, 1, 0, 0
56, 20, 4, 1, 1, 1
57, 20, 4, 1, 1, 1
59, 8, 4, 1, 0, 0
60, 5, 4, 5, 2, 0
61, 7, 4, 5, 2, 0
79, 7, 4, 5, 1, 0
80, 8, 4, 5, 1, 0
85, 5, 4, 5, 2, 1
117, 0, 0, 5, 0, 1
118, 0, 0, 5, 3, 1
120, 7, 4, 1, 1, 1
121, 8, 4, 1, 0, 0
127, 4, 4, 1, 0, 0
128, 7, 4, 1, 1, 1
129, 8, 4, 1, 0, 0
139, 7, 4, 1, 1, 1
140, 8, 4, 1, 0, 0
147, 7, 4, 1, 1, 1
148, 4, 4, 1, 0, 0
153, 7, 4, 1, 2, 1
154, 4, 4, 1, 0, 0
159, 0, 0, 5, 0, 1
182, 0, 12, 1, 0, 0
193, 5, 4, 5, 1, 1
194, 7, 4, 5, 1, 1
195, 8, 4, 5, 1, 1
200, 5, 4, 22, 1, 17
201, 7, 4, 22, 1, 17
202, 8, 4, 22, 1, 17
203, 10, 4, 22, 1, 17
209, 7, 4, 5, 2, 1
210, 8, 4, 5, 2, 1
236, 5, 4, 22, 2, 17
237, 7, 4, 22, 2, 17
238, 8, 4, 22, 2, 17
239, 10, 4, 22, 2, 17
285, 5, 4, 22, 3, 17
286, 7, 4, 22, 3, 17
287, 8, 4, 22, 3, 17
414, 0, 0, 15, 0, 5
422, 0, 0, 25, 0, 15
537, 0, 15, 1, 0, 0
555, 0, 15, 10, 0, 0
556, 0, 15, 1, 0, 0
647, 17, 2, 57, 8, 52
710, 9, 4, 14, 1, 0
711, 10, 4, 5, 1, 1
714, 10, 4, 5, 2, 1
718, 10, 4, 22, 3, 17
719, 10, 4, 5, 1, 0
720, 10, 4, 28, 2, 23
723, 0, 7, 12, 0, 0
724, 0, 0, 15, 0, 5
725, 0, 12, 1, 0, 0
727, 13, 2, 10, 7, 5
728, 0, 9, 15, 5, 0
729, 0, 7, 10, 0, 0
730, 0, 7, 11, 0, 0
731, 0, 7, 12, 0, 0
732, 0, 7, 9, 0, 0
733, 0, 0, 15, 0, 5
735, 0, 12, 1, 0, 0
737, 0, 12, 1, 0, 0
738, 0, 12, 1, 0, 0
739, 0, 12, 1, 0, 0
740, 0, 12, 1, 0, 0
742, 0, 12, 1, 0, 0
743, 0, 12, 1, 0, 0
744, 12, 4, 44, 0, 0
745, 0, 12, 1, 0, 0
748, 0, 12, 1, 0, 0
750, 0, 12, 1, 0, 0
752, 0, 12, 1, 0, 0
753, 13, 2, 28, 7, 23
754, 13, 2, 47, 7, 42
755, 0, 15, 1, 0, 0
756, 17, 2, 29, 1, 24
763, 9, 4, 12, 2, 7
765, 0, 7, 5, 0, 0
766, 21, 2, 7, 4, 2
767, 17, 2, 8, 10, 3
768, 21, 2, 9, 0, 4
769, 0, 7, 5, 0, 0
770, 0, 15, 1, 0, 0
771, 0, 15, 1, 0, 0
772, 0, 12, 1, 0, 0
773, 0, 12, 1, 0, 0
774, 0, 7, 7, 0, 0
776, 13, 2, 31, 15, 26
777, 0, 15, 1, 0, 0
778, 21, 2, 7, 0, 2
779, 0, 15, 1, 0, 0
780, 0, 12, 1, 0, 0
781, 21, 2, 9, 4, 4
782, 0, 12, 1, 0, 0
783, 0, 7, 10, 0, 0
785, 0, 7, 10, 0, 0
787, 0, 0, 5, 0, 1
789, 21, 2, 22, 4, 17
790, 21, 2, 23, 0, 18
791, 17, 2, 31, 10, 26
792, 8, 4, 10, 1, 5
793, 10, 4, 10, 1, 5
794, 7, 4, 10, 1, 5
795, 5, 4, 10, 1, 5
796, 8, 4, 10, 2, 5
797, 10, 4, 10, 2, 5
798, 7, 4, 10, 2, 5
799, 5, 4, 10, 2, 5
804, 18, 1, 25, 0, 0
805, 18, 1, 5, 0, 0
809, 21, 2, 50, 7, 45
810, 21, 2, 54, 4, 49
811, 21, 2, 57, 0, 52
812, 17, 2, 54, 10, 49
814, 0, 7, 1, 0, 0
816, 13, 2, 11, 15, 6
818, 0, 7, 15, 0, 0
820, 13, 2, 17, 15, 12
821, 5, 4, 13, 2, 8
826, 21, 2, 15, 0, 10
827, 21, 2, 17, 4, 12
828, 18, 1, 5, 0, 0
829, 0, 12, 1, 0, 0
832, 6, 4, 15, 3, 10
833, 12, 4, 56, 0, 51
835, 0, 0, 12, 0, 2
837, 5, 4, 17, 1, 12
838, 7, 4, 17, 1, 12
839, 10, 4, 17, 1, 12
840, 8, 4, 17, 1, 12
841, 0, 12, 1, 0, 0
